月份,观测值,趋势,季节,残差
2020-01-01,0.5974,0.5672984915458829,0.030578308929172193,-0.0004768004750550503
2020-02-01,0.4275,0.5853055203818384,-0.15344398044477578,-0.004361539937062564
2020-03-01,0.6291,0.6033246212969341,0.01883625061833383,0.006939128084732071
2020-04-01,0.6336,0.6213609383011196,0.004248161757064148,0.007990899941816343
2020-05-01,0.6491,0.6394165500065895,0.010693628490882436,-0.0010101784974718697
2020-06-01,0.6742,0.6574890159554353,0.021439619838908453,-0.004728635794343683
2020-07-01,0.6419,0.675574572377579,-0.03018902336643542,-0.0034855490111436183
2020-08-01,0.6565,0.6936702317830586,-0.03133224626503848,-0.005837985518020172
2020-09-01,0.6931,0.711774114731495,-0.0187191760757628,4.506134426784936e-05
2020-10-01,0.7432,0.729886705296532,0.009837923113463298,0.003475371590004661
2020-11-01,0.9387,0.7480114112923477,0.18324059403026127,0.00744799467739099
2020-12-01,0.807,0.7661923842358118,0.05051817052924414,-0.00971055476505589
2021-01-01,0.79,0.7849917422602879,-0.0009130519772953625,0.00592130971700755
2021-02-01,0.5714,0.8038831641763757,-0.23217559118011452,-0.00030757299626116286
2021-03-01,0.8299,0.8228515894864052,0.017089576609569314,-0.010041166095974607
2021-04-01,0.8106,0.841871202801703,-0.0045569324682982176,-0.026714270333404788
2021-05-01,0.8652,0.8610096198185998,0.01156895470146485,-0.007378574520064629
2021-06-01,0.9179,0.880343464798176,0.027956818325145474,0.009599716876678488
2021-07-01,0.8701,0.8999641950220886,-0.04111489176034675,0.011250696738258181
2021-08-01,0.8851,0.9199479389023221,-0.04137800290433851,0.006530064002016389
2021-09-01,0.9314,0.9402056187645635,-0.00696104508109785,-0.001844573683465689
2021-10-01,0.9578,0.9605501905187306,0.010671886851859715,-0.013422077370590313
2021-11-01,1.2241,0.9808301943224039,0.26644090241608187,-0.02317109673848583
2021-12-01,1.108,1.000998068174691,0.09245543351121062,0.014546498314098377
2022-01-01,0.9788,1.0210685962358483,-0.03408242777351909,-0.008186168462329224
2022-02-01,0.7405,1.0410903499154944,-0.3133547943359501,0.012764444420455767
2022-03-01,1.0744,1.061210149268363,0.015320874079456212,-0.0021310233478191165
2022-04-01,1.0704,1.0816256002825395,-0.015308698199301102,0.004083097916761647
2022-05-01,1.1307,1.1026121912248137,0.00986387758816427,0.018223931187022036
2022-06-01,1.1443,1.124278584085077,0.030702746871463828,-0.01068133095654078
2022-07-01,1.0572,1.146643663686199,-0.051377491276725064,-0.038066172409473964
2022-08-01,1.1077,1.169461883669875,-0.05324806214781016,-0.008513821522064813
2022-09-01,1.1838,1.1924533612298902,0.0035371482555463215,-0.012190509485436651
2022-10-01,1.2225,1.2157242278165166,0.010179617413372921,-0.0034038452298896793
2022-11-01,1.5173,1.2397777353683266,0.3514069986009895,-0.07388473396931605
2022-12-01,1.3788,1.2647727199735321,0.12705566261970058,-0.01302838259323269
2023-01-01,1.1853,1.2907663856921112,-0.030827316630909186,-0.07463906906120199
2023-02-01,0.9108,1.3177640296273074,-0.4123395955920786,0.005375565964771178
2023-03-01,1.3413,1.3456647567386217,0.013863738154171464,-0.018228494892793323
2023-04-01,1.3436,1.3746601010296557,-0.03451221712626516,0.0034521160966092257
2023-05-01,1.3885,1.4065537367442371,0.004283450526831816,-0.022337187271068926
2023-06-01,1.4097,1.4418378412308936,0.05193094017644821,-0.08406878140734197
2023-07-01,1.3481,1.4777506583763722,-0.06483308076711682,-0.06481757760925522
2023-08-01,1.4336,1.51293293771026,-0.07171828162622615,-0.007614656084033999
2023-09-01,1.4782,1.5478267507890513,0.00920475527214897,-0.07883150606120037
2023-10-01,1.5128,1.5827011238373143,0.02850477947517682,-0.0984059033124911
2023-11-01,1.9447,1.6177875335245475,0.4503361852229949,-0.12342371874754221
2023-12-01,1.6996,1.6532153712617297,0.17191742658442985,-0.12553279784615956
2024-01-01,1.563,1.6892099020909337,-0.03686352239704684,-0.08934637969388692
2024-02-01,1.1997,1.7256814664754252,-0.5284567366827966,0.0024752702073713717
2024-03-01,1.7793,1.7623674912146183,0.012035102031543987,0.004897406753837874
2024-04-01,1.7381,1.798728518895011,-0.06654832668559872,0.005919807790587539
2024-05-01,1.8198,1.8347877205272247,-0.000714686563135552,-0.014273033964089077
2024-06-01,1.8792,1.8707129368226083,0.07055860935355812,-0.0620715461761665
2024-07-01,1.8326,1.9067653189634601,-0.07414968656386414,-1.563239959589957e-05
2024-08-01,1.8533,1.9432043384181459,-0.09093365294092996,0.0010293145227839862
2024-09-01,2.0013,1.9800815073248794,0.013409266451021666,0.007809226224098964
2024-10-01,1.9857,2.017324339169505,0.0428970567797844,-0.0745213959492892
2024-11-01,2.5857,2.054810621485038,0.5616481874676162,-0.03075880895265426
2024-12-01,2.222,2.09246826800327,0.21516878019797983,-0.08563704820124984
2025-01-01,2.0865,2.130396226196437,-0.04297400218895861,-0.0009222240074784338
2025-02-01,1.5102,2.1694086501180156,-0.6468085371937141,-0.012400112924301432
2025-03-01,2.2147,2.208620168897532,0.010675762987642197,-0.004595931885174487
2025-04-01,2.1345,2.247940592523671,-0.10080288945515,-0.012637703068520967
2025-05-01,2.2907,2.2873581580690217,-0.0054758462956040165,0.008817688226582465
2025-06-01,2.4164,2.326869573037749,0.0883868681589529,0.0011435588032977506
2025-07-01,2.2827,2.3664655794134983,-0.08214458570147616,-0.0016209937120219564
2025-08-01,2.2941,2.406136860777101,-0.11007381857226314,-0.001963042204838228
2025-09-01,2.4569,2.4458765803019262,0.01772744820809576,-0.006704028510021942
2025-10-01,2.5432,2.485680683767101,0.056961782578354075,0.0005575336545451393
2025-11-01,3.215,2.5255484999528894,0.6771788562686921,0.012272643778418413
